Canción,Artista / Grupo,"Categoría ",Tipo musical,Dominio de la iglesia,Dominio del equipo,Complejidad técnica,Link,Clásicos IBAMI
"No Hay Argumento ",Jesús A. Romero,Confesión / Arrepentimiento,Celebración Rítmica,Dominada,Montada,Básica,https://music.youtube.com/watch?v=8_gOnivRUsw&si=YvJFcaxCPlgm0s18,Yes
"De gloria en gloria ",Marco Barrientos,"Exaltación / Gloria, Gozo / Celebración",Celebración Rítmica,Dominada,Montada,Avanzada,https://music.youtube.com/watch?v=I50l_0ODoB4&si=KiIiDAvgp0ZTbJiO,No
De Gloria en Gloria,Marcos Witt,Consagración / Entrega,Balada congregacional,Dominada,Montada,Básica,https://music.youtube.com/watch?v=4iUEq3VOHos&si=pBzrILCqNajz0HhV,No
Así Es Tu Amor,Jaime Murrell,"Exaltación / Gloria, Gozo / Celebración",Balada congregacional,Conocida,Ensamblada,Básica,https://music.youtube.com/watch?v=IpBtQtngg9w&si=OpwY88m0tram5IZe,No
Él Volverá,Marcos Witt,"Declaración Doctrinal, Gozo / Celebración",Celebración Rítmica,Dominada,Ensamblada,Intermedia,https://music.youtube.com/watch?v=N1NDNmoAh-U&si=4mI6p9RCE2_PFfyR,No
"Jesús, eres mi buen pastor ",Marcos Witt,"Clamor / Intercesión, Confesión / Arrepentimiento, Consagración / Entrega",Balada congregacional,Dominada,Montada,Básica,https://music.youtube.com/watch?v=M6Sclb7y1Pc&si=e-8p9PrG-fpC507c,Yes
"Tu dulce amor ",Danilo Montero,"Acción de Gracias, Consagración / Entrega",Balada congregacional,Conocida,Por practicar,Básica,https://music.youtube.com/watch?v=u546A0J0XVc&si=YBBr2MtRnTDnYu4o,No
"Cantaré de tu amor ",Danilo Montero,Consagración / Entrega,Balada congregacional,Dominada,Montada,Básica,https://music.youtube.com/watch?v=I8jEw8UeA0c&si=cvFt_r9i6VSRy5kN,Yes
"Los que esperan en el señor ",Danilo Montero,"Declaración Doctrinal, Exaltación / Gloria",Celebración Rítmica,Dominada,Montada,Intermedia,https://music.youtube.com/watch?v=7-cff0k6Cq0&si=yBZEJzAzZVkpBLGD,No
Palabras de vida eterna,Marcos Witt,"Declaración Doctrinal, Gozo / Celebración",Celebración Rítmica,Dominada,Montada,Básica,https://music.youtube.com/watch?v=CwYn6xXKOD4&si=qp3yhartTDjxo1mm,Yes
Tu Palabra,Marcela Gándara,"Consagración / Entrega, Declaración Doctrinal",Balada congregacional,Conocida,Ensamblada,Básica,https://music.youtube.com/watch?v=6E2-ULnQJ2s&si=Z2Ws7qft48OHIoaY,No
Jesús Mi Fiel Amigo,Abel Zabala,"Clamor / Intercesión, Consagración / Entrega",Balada congregacional,Dominada,Montada,Básica,https://music.youtube.com/watch?v=MgNQC4zoAJ4&si=1YWEyMauE-n3OzKr,No
La Bondad de Dios,IBI,"Acción de Gracias, Exaltación / Gloria",Worship contemporáneo,Dominada,Montada,Básica,https://music.youtube.com/watch?v=Jy08K4twCp4&si=ddZZeWrjR4ZKC1R1,Yes
"El Señor Es Mi Pastor ",Danilo Montero,Declaración Doctrinal,Balada congregacional,Dominada,Montada,Básica,https://music.youtube.com/watch?v=SDq5aA0GCYM&si=Sp2RgE7x8Ir9YWX4,Yes
Hay Libertad,IBI,"Declaración Doctrinal, Evangelización / Misión, Gozo / Celebración",Celebración Rítmica,Dominada,Montada,Básica,https://music.youtube.com/watch?v=jBQ4nUirULc&si=c6uIwkX1Uv3roF0b,Yes
"Al Que Me Ciñe de Poder ",Jesús A. Romero,"Exaltación / Gloria, Gozo / Celebración",Celebración Rítmica,Dominada,Montada,Básica,https://music.youtube.com/watch?v=qAKn-1q1qiY&si=V59D971CwkQAtSU8,Yes
